0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:27 +0200] "GET /configurator/APP/global/3/legacy/42/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:27 +0200] "GET /configurator/APP/global/3/legacy/40/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:27 +0200] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:29 +0200] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:29 +0200] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:29 +0200] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:29 +0200] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:29 +0200] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:29 +0200] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1523781035581 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "POST /configurator/?v-1523781035586 HTTP/1.1" 200 9431
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/11/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/12/Training_Support.jpg HTTP/1.1" 200 703392
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/13/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/16/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/14/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/20/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/17/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/18/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/15/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/21/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:35 +0200] "GET /configurator/APP/global/1/legacy/19/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:36 +0200] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:43 +0200] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:43 +0200] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1523781043810 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:43 +0200] "POST /configurator/?v-1523781043819 HTTP/1.1" 200 9573
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/44/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/49/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/45/Training_Support.jpg HTTP/1.1" 200 703392
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/46/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/52/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/54/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/47/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/50/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/48/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/53/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "GET /configurator/APP/global/4/legacy/51/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:44 +0200] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:46 +0200] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:46 +0200] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:46 +0200] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:46 +0200] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 157
