0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:02 +0100] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:02 +0100] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1518017825517 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "POST /configurator/?v-1518017825521 HTTP/1.1" 200 9906
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/CA4FB287204AE1F890BE4F774E07EE29.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/43/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/44/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/45/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/42/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/49/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/47/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/46/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/40/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/41/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:05 +0100] "GET /configurator/APP/global/4/legacy/48/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:05 +0100] "POST /configurator/HEARTBEAT/?v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:12 +0100] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:12 +0100] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:12 +0100] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:12 +0100] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:12 +0100] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:12 +0100] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:12 +0100] "POST /configurator/UIDL/?v-uiId=4 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:20 +0100] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1518018141011 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "POST /configurator/?v-1518018141018 HTTP/1.1" 200 9882
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/CA4FB287204AE1F890BE4F774E07EE29.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/50/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/53/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/54/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/55/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/58/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/56/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/57/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/59/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/51/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/APP/global/5/legacy/52/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "POST /configurator/UIDL/?v-uiId=5 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:21 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:23 +0100] "POST /configurator/UIDL/?v-uiId=5 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:23 +0100] "POST /configurator/UIDL/?v-uiId=5 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:26 +0100] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:26 +0100] "POST /configurator/UIDL/?v-uiId=5 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:26 +0100] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:26 +0100] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:26 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1518018146447 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:26 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/CA4FB287204AE1F890BE4F774E07EE29.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:26 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:26 +0100] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "POST /configurator/?v-1518018146454 HTTP/1.1" 200 9908
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/62/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/63/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:42:27 +0100] "GET /configurator/APP/global/6/legacy/65/facebook.png HTTP/1.1" 200 3753
